Key,Name,Home,Age,Stance,Category,Alternate
LUSH,Luke Shepardson,Haw,27,R,M,F
JOFL,John John Florence,Haw,30,R,M,F
MAHE,Mark Healey,Haw,41,G,M,F
BIKE,Billy Kemper,Haw,32,R,M,F
KALE,Kai Lenny,Haw,30,R,M,F
EZLA,Ezekiel Lau,Haw,29,R,M,F
LAMC,Landon McNamara,Haw,26,R,M,F
KEMA,Keali'i Mamala,Haw,,R,M,F
LUCH,Lucas Chianca,Haw,27,G,M,F 
ROCL,Ross Clarke-Jones,Haw,56,R,M,F
TYLA,Tyler Larronde,Haw,28,,M,F
JAMI,Jamie Mitchell,Haw,46,R,M,F
TASH,Taio Shipman,Haw,,R,M,F
PEME,Peter Mel,Cal,53,R,M,F
ELOL,Eli Olson,Haw,30,R,M,F
SHDO,Shane Dorian,Haw,50,R,M,F
JAMA,Jake Maki,Haw,,G,M,F
MARO,Makuakai Rothman,Haw,38,,M,F
GRBA,Grant Baker,SAf,49,R,M,F
RANA,Ramon Navarro,Chi,43,G,M,F
MAHO,Mason Ho,Haw,34,R,M,F
NIVO,Nic von Rupp,Portg,32,G,M,F
AAGO,Aaron Gold,Haw,41,R,M,F
KAHA,Kahea Hart,Haw,,R,M,T
KORO,Koa Rothman,Haw,29,,M,F
IAWA,Ian Wals h,Haw,39,R,M,F
TISM,Tikanui Smith,Tah,,R,M,F
MIHO,Michael Ho,Haw,65,R,M,F
MIOS,Mikey O'Shaughnessy,Haw,30,R,M,T
NAFL,Nathan Fletcher,Cal,48,G,M,F
PAAL,Paige Alms,Haw,34,R,F,F
MAAD,Makani Adric,Haw,26,G,F,F
KOCH,Kohl Christensen,Haw,45,,M,F
KEKE,Keala Kennelly,Haw,44,G,F,F
GRLO,Greg Long,Cal,39,R,M,F
CHOW,Chris Owens,Haw,62,R,M,T
EMER,Emily Erickson,Haw,33,R,F,F
JUDU,Justine Dupont,Fra,31,R,F,F
JOMO,Josh Moniz,Haw,26,,M,F
ANMA,Andrea Moller,Haw,42,R,F,F
